# en	pos	category	level	tr   (single-word concepts only; the 50 words already in data/flashcards_data.php are excluded)
want	v	Actions	A1	istemek
know	v	Actions	A1	bilmek
live	v	Actions	A1	yaşamak
walk	v	Actions	A1	yürümek
run	v	Actions	A1	koşmak
open	v	Actions	A1	açmak
close	v	Actions	A1	kapatmak
help	v	Actions	A1	yardım etmek
wait	v	Actions	A1	beklemek
learn	v	Actions	A1	öğrenmek
think	v	Actions	A1	düşünmek
arrive	v	Actions	A2	varmak
leave	v	Actions	A2	ayrılmak
visit	v	Actions	A2	ziyaret etmek
remember	v	Actions	A2	hatırlamak
forget	v	Actions	A2	unutmak
understand	v	Actions	A1	anlamak
explain	v	Actions	A2	açıklamak
ask	v	Actions	A1	sormak
choose	v	Actions	A2	seçmek
decide	v	Actions	A2	karar vermek
try	v	Actions	A2	denemek
use	v	Actions	A2	kullanmak
find	v	Actions	A2	bulmak
lose	v	Actions	A2	kaybetmek
win	v	Actions	A2	kazanmak
pay	v	Actions	A2	ödemek
cook	v	Actions	A2	pişirmek
wash	v	Actions	A2	yıkamak
wear	v	Actions	A2	giymek
carry	v	Actions	A2	taşımak
bring	v	Actions	A2	getirmek
send	v	Actions	A2	göndermek
follow	v	Actions	A2	takip etmek
dance	v	Actions	A2	dans etmek
sing	v	Actions	A2	şarkı söylemek
swim	v	Actions	A2	yüzmek
fly	v	Actions	A2	uçmak
cut	v	Actions	A2	kesmek
build	v	Actions	A2	inşa etmek
change	v	Actions	A2	değiştirmek
finish	v	Actions	A2	bitirmek
begin	v	Actions	A2	başlamak
stop	v	Actions	A2	durmak
play	v	Actions	A1	oynamak
watch	v	Actions	A1	izlemek
laugh	v	Actions	A2	gülmek
cry	v	Actions	A2	ağlamak
believe	v	Actions	A2	inanmak
big	adj	Describing	A1	büyük
small	adj	Describing	A1	küçük
good	adj	Describing	A1	iyi
bad	adj	Describing	A1	kötü
beautiful	adj	Describing	A1	güzel
easy	adj	Describing	A1	kolay
difficult	adj	Describing	A1	zor
fast	adj	Describing	A1	hızlı
slow	adj	Describing	A1	yavaş
long	adj	Describing	A1	uzun
short	adj	Describing	A1	kısa
young	adj	Describing	A1	genç
heavy	adj	Describing	A2	ağır
clean	adj	Describing	A2	temiz
dirty	adj	Describing	A2	kirli
full	adj	Describing	A2	dolu
empty	adj	Describing	A2	boş
hungry	adj	Describing	A1	aç
thirsty	adj	Describing	A1	susamış
sick	adj	Describing	A2	hasta
rich	adj	Describing	A2	zengin
poor	adj	Describing	A2	fakir
strong	adj	Describing	A2	güçlü
weak	adj	Describing	A2	zayıf
dangerous	adj	Describing	A2	tehlikeli
important	adj	Describing	A2	önemli
famous	adj	Describing	A2	ünlü
different	adj	Describing	A2	farklı
same	adj	Describing	A2	aynı
ready	adj	Describing	A2	hazır
busy	adj	Describing	A2	meşgul
quiet	adj	Describing	A2	sessiz
wet	adj	Describing	A2	ıslak
dry	adj	Describing	A2	kuru
sweet	adj	Describing	A2	tatlı
thin	adj	Describing	A2	ince
deep	adj	Describing	A2	derin
always	adv	General	A1	her zaman
never	adv	General	A1	asla
often	adv	General	A2	sık sık
sometimes	adv	General	A2	bazen
again	adv	General	A2	tekrar
together	adv	General	A2	birlikte
alone	adv	General	A2	yalnız
here	adv	General	A1	burada
there	adv	General	A1	orada
very	adv	General	A1	çok
idea	n	General	A2	fikir
problem	n	General	A2	sorun
reason	n	General	A2	neden
story	n	General	A2	hikâye
news	n	General	A2	haber
music	n	General	A1	müzik
film	n	General	A1	film
game	n	General	A1	oyun
sport	n	General	A2	spor
world	n	General	A2	dünya
life	n	General	A2	hayat
war	n	General	A2	savaş
peace	n	General	A2	barış
picture	n	General	A2	resim
gift	n	General	A2	hediye
newspaper	n	General	A2	gazete
weather	n	General	A2	hava durumu
holiday	n	Travel	A2	tatil
tourist	n	Travel	A2	turist
restaurant	n	Food	A1	restoran
library	n	Education	A2	kütüphane
museum	n	Travel	A2	müze
