# en	es	de	fr	zh	ja	ar     ('-' = no card for that language)   Chosen by hand, then verified against the dictionaries by build_vocab.py
one	uno	eins	un	一	一|いち	واحد
learn	aprender	lernen	apprendre	学习	学ぶ	تعلم
think	pensar	denken	penser	想	考える	فكر
arrive	llegar	ankommen	arriver	到	着く	وصل
leave	salir	verlassen	partir	离开	出る	غادر
visit	visitar	besuchen	visiter	参观	訪問する	زار
remember	recordar	erinnern	se souvenir	记得	覚える	تذكر
forget	olvidar	vergessen	oublier	忘记	忘れる	نسي
understand	entender	verstehen	comprendre	懂	分かる	فهم
explain	explicar	erklären	expliquer	解释	説明する	شرح
ask	preguntar	fragen	demander	问	尋ねる	سأل
choose	elegir	wählen	choisir	选择	選ぶ	اختار
decide	decidir	entscheiden	décider	决定	決める	قرر
try	intentar	versuchen	essayer	试	試す	حاول
use	usar	benutzen	utiliser	用	使う	استخدم
find	encontrar	finden	trouver	找到	見つける	وجد
lose	perder	verlieren	perdre	丢	失う	خسر
win	ganar	gewinnen	gagner	赢	勝つ	فاز
pay	pagar	bezahlen	payer	付	払う	دفع
cook	cocinar	kochen	cuisiner	做饭	料理する	طبخ
wash	lavar	waschen	laver	洗	洗う	غسل
wear	llevar	anhaben	porter	穿	着る	لبس
carry	cargar	tragen	transporter	搬	運ぶ	حمل
bring	traer	bringen	apporter	带来	持ってくる	أحضر
send	enviar	senden	envoyer	寄	送る	أرسل
follow	seguir	folgen	suivre	跟	従う	تبع
dance	bailar	tanzen	danser	跳舞	踊る	رقص
sing	cantar	singen	chanter	唱歌	歌う	غنى
swim	nadar	schwimmen	nager	游泳	泳ぐ	سبح
fly	volar	fliegen	voler	飞	飛ぶ	طار
cut	cortar	schneiden	couper	切	切る	قطع
build	construir	bauen	construire	建	建てる	بنى
change	cambiar	ändern	changer	改变	変える	غير
finish	terminar	beenden	finir	完成	終える	أنهى
begin	empezar	beginnen	commencer	开始	始める	بدأ
stop	parar	anhalten	arrêter	停	止まる	توقف
play	jugar	spielen	jouer	玩	遊ぶ	لعب
watch	mirar	ansehen	regarder	看	-	شاهد
laugh	reír	lachen	rire	笑	笑う	ضحك
cry	llorar	weinen	pleurer	哭	泣く	بكى
believe	creer	glauben	croire	相信	信じる	آمن
big	grande	groß	grand	大	大きい	كبير
small	pequeño	klein	petit	小	小さい	صغير
good	bueno	gut	bon	好	良い	جيد
bad	malo	schlecht	mauvais	坏	悪い	سيء
beautiful	hermoso	schön	beau	漂亮	美しい	جميل
easy	fácil	einfach	facile	容易	易しい	سهل
difficult	difícil	schwierig	difficile	难	難しい	صعب
fast	rápido	schnell	rapide	快	速い	سريع
slow	lento	langsam	lent	慢	遅い	بطيء
long	largo	lang	long	长	長い	طويل
short	corto	kurz	court	短	短い	قصير
young	joven	jung	jeune	年轻	若い	شاب
heavy	pesado	schwer	lourd	重	重い	ثقيل
clean	limpio	sauber	propre	干净	きれい	نظيف
dirty	sucio	schmutzig	sale	脏	汚い	وسخ
full	lleno	voll	plein	满	いっぱい	ممتلئ
empty	vacío	leer	vide	空	空っぽ	فارغ
hungry	hambriento	hungrig	affamé	饿	空腹	جائع
thirsty	sediento	durstig	assoiffé	渴	-	عطشان
sick	enfermo	krank	malade	生病	病気	مريض
rich	rico	reich	riche	富	金持ち	غني
poor	pobre	arm	pauvre	穷	貧しい	فقير
strong	fuerte	stark	fort	强	強い	قوي
weak	débil	schwach	faible	弱	弱い	ضعيف
dangerous	peligroso	gefährlich	dangereux	危险	危険	خطير
important	importante	wichtig	important	重要	大切	مهم
famous	famoso	berühmt	célèbre	有名	有名	مشهور
different	diferente	verschieden	différent	不同	違う	مختلف
same	mismo	gleich	même	相同	同じ|おなじ	نفس
ready	listo	bereit	prêt	准备好	-	جاهز
busy	ocupado	beschäftigt	occupé	忙	忙しい	مشغول
quiet	tranquilo	ruhig	calme	安静	静か	هادئ
wet	mojado	nass	mouillé	湿	濡れた	مبلل
dry	seco	trocken	sec	干	乾いた	جاف
sweet	dulce	süß	sucré	甜	甘い	حلو
thin	delgado	dünn	mince	薄	薄い	رفيع
deep	profundo	tief	profond	深	深い	عميق
always	siempre	immer	toujours	总是	いつも	دائما
never	nunca	nie	jamais	从不	決して	أبدا
often	a menudo	oft	souvent	经常	よく	غالبا
sometimes	a veces	manchmal	parfois	有时	時々	أحيانا
again	otra vez	wieder	encore	再	また	مرة أخرى
together	juntos	zusammen	ensemble	一起	一緒に	معا
alone	solo	allein	seul	独自	一人で	وحيدا
here	aquí	hier	ici	这里	ここ	هنا
there	allí	dort	là	那里	そこ	هناك
very	muy	sehr	très	很	とても	جدا
idea	idea	Idee	idée	主意	考え	فكرة
problem	problema	Problem	problème	-	問題	مشكلة
reason	razón	Grund	raison	原因	理由	سبب
story	historia	Geschichte	histoire	故事	話	قصة
news	noticias	Nachrichten	nouvelles	新闻	ニュース	أخبار
music	música	Musik	musique	音乐	音楽	موسيقى
film	película	Film	film	电影	映画	فيلم
game	juego	Spiel	jeu	游戏	ゲーム	لعبة
sport	deporte	Sport	sport	运动	スポーツ	رياضة
world	mundo	Welt	monde	世界	世界	عالم
life	vida	Leben	vie	生活	人生	حياة
war	guerra	Krieg	guerre	战争	戦争	حرب
peace	paz	Frieden	paix	和平	平和	سلام
picture	imagen	Bild	image	图片	絵	صورة
gift	regalo	Geschenk	cadeau	礼物	贈り物	هدية
newspaper	periódico	Zeitung	journal	报纸	新聞	جريدة
weather	tiempo	Wetter	météo	天气	天気	طقس
holiday	vacaciones	Urlaub	vacances	假期	休み	عطلة
tourist	turista	Tourist	touriste	游客	観光客	سائح
restaurant	restaurante	Restaurant	restaurant	餐厅	レストラン	مطعم
library	biblioteca	Bibliothek	bibliothèque	图书馆	図書館	مكتبة
museum	museo	Museum	musée	博物馆	博物館	متحف
